old.area.rank,code.ministry,code.smis,code.percode,name.th,name.en,principal,class,network,village,tambon,amphoe,province,postcode,email,website,administration,tel,fax,est,dist.toarea,dist.toamphoe,size,electricity,number.teachers,number.students,number.classrooms,updated,old.area.code,province.code,new.area.code,region,province.name,new.area.name,count.principal,count.viceprincipal,count.teacher,count.assistant,count.empperm,count.staff,count.emptemp,sum.execs,sum.teachers,time.staffdataretrieved
17,1025290288,25012024,290288,ศรีมหาโพธิ,Srimahaphot,นายพาดี ฉิมพาลี,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,ศรีบูรพา,หมู่ 9 บ้านโคกขวาง,ศรีมหาโพธิ,ศรีมหาโพธิ,ปราจีนบุรี,25140.0,srimahaphotschool@yahoo,www.labschools.net/srip,ศรีมหาโพธิ,0-3727-9200,037279436,27 มิถุนายน 2498,25.0,3.0,l,y,70,1189,35,15 เมษายน 2563 เวลา 14:30:58 น.,7,25,27,C,ปราจีนบุรี,ปราจีนบุรี นครนายก,1,1,48,10,3,4,3,2,58,2021-07-09 03:36:19.732313
18,1025290289,25012025,290289,กรอกสมบูรณ์วิทยาคม,Kroksomboonwittayakom,นายไพบูลย์ ทองเฟื่อง,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,ศรีบูรพา,หมู่ 7 กรอกสมบูรณ์,กรอกสมบูรณ์,ศรีมหาโพธิ,ปราจีนบุรี,25140.0,ksb.kswschool@gmail.com,www.ksb.thai.ac,กรอกสมบูรณ์,037452528,037452527,24 มีนาคม 2535,75.0,30.0,m,y,16,198,8,13 พฤศจิกายน 2563 เวลา 10:06:02 น.,7,25,27,C,ปราจีนบุรี,ปราจีนบุรี นครนายก,1,0,8,3,0,0,0,1,11,2021-07-09 03:36:20.326957
19,1025290290,25012026,290290,ศรีมโหสถ,Srimahosot,นายไพทูล อยู่เกตุ,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,ศรีบูรพา,หมู่ 7 เลขที่217,โคกปีบ,ศรีมโหสถ,ปราจีนบุรี,2519.0,sri_mahosot@yahoo.com,www.srimahosot.ac.th,โคกปีบ,0-3727-6486,037276486,17 พฤษภาคม 2515,20.0,4.0,m,y,37,639,19,15 เมษายน 2563 เวลา 14:32:33 น.,7,25,27,C,ปราจีนบุรี,ปราจีนบุรี นครนายก,1,0,18,3,0,0,6,1,21,2021-07-09 03:36:20.896655
20,1026170151,26012001,170151,เมืองนครนายก,Muangnakhonnayok School,นายบัณฑิต โชคถนอมจิตต์,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,ขุนด่านปราการชล,หมู่ 7 ท่าช้าง,ท่าช้าง,เมืองนครนายก,นครนายก,26000.0,school.mny@gmail.com,www.mny.ac.th,ท่าช้าง,037-316378,037320384,17 พ.ค. 2496,30.0,7.1,m,y,16,124,11,04 มีนาคม 2564 เวลา 09:52:11 น.,7,26,27,C,นครนายก,ปราจีนบุรี นครนายก,1,0,8,2,1,1,1,1,10,2021-07-09 03:36:21.439694
21,1026170152,26012002,170152,นครนายกวิทยาคม,Nakhonnayok Wittayakhom,นายพงษ์มิตร สิทธินอก,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,ขุนด่านปราการชล,หมู่ 0 ข1 330,นครนายก,เมืองนครนายก,นครนายก,26000.0,,www.nakorn.ac.th,นครนายก,037-321511,037311254,14 สิงหาคม 2514,28.0,0.5,x,y,170,2711,72,15 เมษายน 2563 เวลา 13:16:35 น.,7,26,27,C,นครนายก,ปราจีนบุรี นครนายก,1,4,112,18,7,4,23,5,130,2021-07-09 03:36:22.126500
22,1026170153,26012003,170153,นวมราชานุสรณ์,Nawama Rachanusorn,นายสมโภช อินทปัญญา,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,ขุนด่านปราการชล,หมู่ - -,ท่าช้าง,เมืองนครนายก,นครนายก,26000.0,-,http://www.nawama.ac.th/,องการบริหารส่วนจังหวัดนครนายก,037-311467,037-311945,22 กรกฎาคม 2515,44.4,1.5,l,y,37,819,29,15 เมษายน 2563 เวลา 13:16:12 น.,7,26,27,C,นครนายก,ปราจีนบุรี นครนายก,1,0,25,9,0,1,0,1,34,2021-07-09 03:36:22.728827
23,1026170154,26012004,170154,ปิยชาติพัฒนา ในพระราชูปถัมภ์ ฯ,Piyachartpattana,นางสาวสุกัญญา เพาะบุญ,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,ขุนด่านปราการชล,หมู่ 4 คลองกระท้อน 61/3,พรหมณี,เมืองนครนายก,นครนายก,26001.0,piyachartpatt@gmail.com,http://www.piyajat.ac.th/,พรหมณี,037-393055,037316613,26 ธันวาคม 2532,44.0,14.0,l,y,53,578,18,15 เมษายน 2563 เวลา 13:15:51 น.,7,26,27,C,นครนายก,ปราจีนบุรี นครนายก,1,0,30,0,2,1,12,1,30,2021-07-09 03:36:23.327253
24,1026170155,26012005,170155,อุบลรัตนราชกัญญาราชวิทยาลัย,ubonrattana ratchakanya ratchawittayalai,นายประชุม บำรุงจิตร์,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,ขุนด่านปราการชล,หมู่ 12 บางปรัง,ศรีจุฬา,เมืองนครนายก,นครนายก,26000.0,urw1sch@gmail.com,www.urw.ac.th,ศรีจุฬา,037-349816,037-349816,2536,40.0,20.0,m,y,15,187,12,29 พฤษภาคม 2563 เวลา 19:05:46 น.,7,26,27,C,นครนายก,ปราจีนบุรี นครนายก,1,0,5,3,2,0,2,1,8,2021-07-09 03:36:23.908247
25,1026170156,26012006,170156,ปากพลีวิทยาคาร,Parkpleewittayakarn,นางนรีรัตน์ ย่างเล้ง,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,ขุนด่านปราการชล,หมู่ 4 -,ปากพลี,ปากพลี,นครนายก,26130.0,parkpleeschool@yahoo.com,www.parkplee.com,ปากพลี,037399283,037399426,2501,20.0,2.0,m,y,34,491,15,21 สิงหาคม 2563 เวลา 16:30:42 น.,7,26,27,C,นครนายก,ปราจีนบุรี นครนายก,1,0,21,6,2,0,4,1,27,2021-07-09 03:36:24.508494
26,1026170157,26012007,170157,บ้านนา นายกพิทยากร,Banna Nayokpitthayakorn School,นายสำราญ ซื่อตรง,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,บ้านนา - องครักษ์,หมู่ 4 ดอนโพธิ์,บ้านนา,บ้านนา,นครนายก,26110.0,npkschool@hotmail.co.th,npk.ac.th,บ้านนา,0-3738-1785,0-3738-2020,1 กรกฏคม 2479,40.0,4.0,x,y,138,2165,51,26 พฤษภาคม 2563 เวลา 13:09:17 น.,7,26,27,C,นครนายก,ปราจีนบุรี นครนายก,2,1,84,26,4,3,17,3,110,2021-07-09 03:36:25.166894
27,1026170158,26012008,170158,เขาเพิ่มนารีผลวิทยา,Khoupemnareepol Wittaya,นายจรุญ ทองอินทร์,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,บ้านนา - องครักษ์,หมู่ 1 บ้านเขาเพิ่ม,เขาเพิ่ม,บ้านนา,นครนายก,26110.0,khoupemnarepol@hotmail.com,www.knws.ac.th,เขาเพิ่ม,037-383985,037-383985,16 มีนาคม 2521,60.0,12.0,m,y,24,283,12,15 เมษายน 2563 เวลา 13:13:18 น.,7,26,27,C,นครนายก,ปราจีนบุรี นครนายก,1,0,10,8,2,1,2,1,18,2021-07-09 03:36:25.744854
28,1026170159,26012009,170159,เลขธรรมกิตติ์วิทยาคม,Lekhadhammakitvidhayakhom,นางสาวสุภาภรณ์ เพาะบุญ,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,บ้านนา - องครักษ์,หมู่ 14 บางอ้อใหม่,บางอ้อ,บ้านนา,นครนายก,26110.0,Lkv2535@gmail.com,www.lkv.ac.th,บางอ้อ,037-349638-9,037-349639,1 กุมภาพันธ์ 2535,45.0,10.0,m,y,12,161,9,29 พฤษภาคม 2563 เวลา 13:48:47 น.,7,26,27,C,นครนายก,ปราจีนบุรี นครนายก,1,0,6,4,0,0,0,1,10,2021-07-09 03:36:26.302049
29,1026170160,26012010,170160,องครักษ์,Ongkharak,นายองอาจ พุ่มมี,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,บ้านนา - องครักษ์,หมู่ 3 เลขที่ 78,องครักษ์,องครักษ์,นครนายก,26120.0,ork2500@gmail.com,www.ors.ac.th/,องครักษ์,037-391299,037-322591,17 พฤษภาคม 2500,84.0,1.5,l,y,79,1530,42,15 เมษายน 2563 เวลา 13:11:44 น.,7,26,27,C,นครนายก,ปราจีนบุรี นครนายก,1,3,49,19,0,3,2,4,68,2021-07-09 03:36:26.987178
30,1026170161,26012011,170161,ภัทรพิทยาจารย์,Pattarapittayajarn,นายไพรัตน์ บำรุงจิตต์,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,บ้านนา - องครักษ์,หมู่ 13 พระอาจารย์,พระอาจารย์,องครักษ์,นครนายก,26120.0,pattaraschool01@gmail.com,www.pattarapittayajarn.com,พระอาจารย์,037610578,037610578,4 มิถุนายน 2519,73.0,15.3,m,y,22,337,15,29 สิงหาคม 2563 เวลา 15:46:26 น.,7,26,27,C,นครนายก,ปราจีนบุรี นครนายก,1,0,16,3,0,0,2,1,19,2021-07-09 03:36:27.542228
31,1027740298,27012001,740298,คลองหาดพิทยาคม,Klonghadpittayakom school,เรือโทสุวัฐ แก้วเมฆ,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,วังบูรพา,หมู่ 5 325,คลองหาด,คลองหาด,สระแก้ว,27260.0,khpschool2018@gmail.com,www.khp.ac.th/,คลองหาด,037247167,037247167,1 พฤษภาคม 2530,150.0,0.5,l,y,64,997,36,15 เมษายน 2563 เวลา 13:10:24 น.,7,27,52,C,สระแก้ว,สระแก้ว,1,1,51,2,0,6,3,2,53,2021-07-09 03:36:28.140373
32,1027740303,27012002,740303,วังน้ำเย็นวิทยาคม,wangnamyenwittayakom,นายชานันท์ ประภา,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,วังบูรพา,หมู่ 1 -,วังน้ำเย็น,วังน้ำเย็น,สระแก้ว,27210.0,wny_school@hotmail.com,www.wny.ac.th,วังน้ำเย็น,037251429,037251429,4 กุมภาพันธ์ 2521,124.0,1.0,x,y,121,2116,60,15 เมษายน 2563 เวลา 13:08:52 น.,7,27,52,C,สระแก้ว,สระแก้ว,1,1,97,8,2,7,3,2,105,2021-07-09 03:36:28.771185
33,1027740294,27012003,740294,สระแก้ว,Sakaeo School,นางจุฑามาส เทพหัสดิน ณ อยุธยา,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,วังบูรพา,หมู่ - 58,สระแก้ว,เมืองสระแก้ว,สระแก้ว,27000.0,mailsakaeo@yahoo.com,www.sakaeoschool.ac.th,สระแก้ว,037241091,037241091,9 มิถุนายน 2501,95.0,2.0,x,y,175,2992,85,19 ตุลาคม 2563 เวลา 16:05:10 น.,7,27,52,C,สระแก้ว,สระแก้ว,1,2,132,12,0,12,15,3,144,2021-07-09 03:36:29.430079
34,1027740304,27012005,740304,วังหลังวิทยาคม,wanglangwitayakom,นางอุบลรัตน์ ศรีษะเกตุ,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,วังบูรพา,หมู่ 18 แสนสุข,ทุ่งมหาเจริญ,วังน้ำเย็น,สระแก้ว,27210.0,wanglang@wl.ac.th,wl.ac.th,ทุ่งมหาเจริญ,037550371,037252016,12/06/2530,200.0,22.0,m,y,35,426,19,17 กรกฎาคม 2563 เวลา 15:40:22 น.,7,27,52,C,สระแก้ว,สระแก้ว,1,0,22,3,0,1,8,1,25,2021-07-09 03:36:30.015289
36,1027740313,27012011,740313,วังสมบูรณ์วิทยาคม,wangsomboonwittayakom,นายชัยทัศน์ จ้องสกุลวงษ์,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,วังบูรพา,หมู่ 10 58,วังสมบูรณ์,วังสมบูรณ์,สระแก้ว,27250.0,wsbschool@hotmail.com,http://www.wsb.ac.th,วังสมบูรณ์,037449190,037449190,13 มีนาคม 2527,146.0,6.0,l,y,52,799,24,29 พฤษภาคม 2563 เวลา 23:19:50 น.,7,27,52,C,สระแก้ว,สระแก้ว,1,2,31,12,2,0,6,3,43,2021-07-09 03:36:30.617960
37,1027740314,27012012,740314,วังไพรวิทยาคม,WANGPRAI,นางวรรณวนา พิทักษ์สงคราม,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,วังบูรพา,หมู่ 11 วังไพร,วังใหม่,วังสมบูรณ์,สระแก้ว,27250.0,wangprai2536@gmail.com,http://www.wangprai.ac.th/,วังใหม่,037247531,037247531,13 มกราคม 2536,140.0,30.0,m,y,19,248,11,17 กรกฎาคม 2563 เวลา 14:25:06 น.,7,27,52,C,สระแก้ว,สระแก้ว,1,0,13,1,1,0,2,1,14,2021-07-09 03:36:31.214315
38,1027740308,27022002,740308,อรัญประเทศ,Aranprathet,นายประสาน เลือดทหาร,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,ปิ่นมาลา,หมู่ - -,อรัญประเทศ,อรัญประเทศ,สระแก้ว,27120.0,aran@gmail.com,aran.ac.th,อรัญประเทศ,037231135,037221061,1 พฤศจิกายน 2491,150.0,4.0,x,y,131,2355,64,15 เมษายน 2563 เวลา 13:07:33 น.,7,27,52,C,สระแก้ว,สระแก้ว,1,2,97,14,3,5,12,3,111,2021-07-09 03:36:31.845323
39,1027740301,27022003,740301,ทัพราชวิทยา,TUPRACHWITTHAYA,นายวิษณุ เกิดในหล้า,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,ปิ่นมาลา,หมู่ 16 หนองกก,ทัพราช,ตาพระยา,สระแก้ว,27180.0,,http://school.obec.go.,ทัพราช,037243448,037243305,14/01/2542,250.0,20.0,l,y,46,803,27,15 เมษายน 2563 เวลา 13:09:30 น.,7,27,52,C,สระแก้ว,สระแก้ว,1,1,22,14,0,1,6,2,36,2021-07-09 03:36:32.398281
40,1027740309,27022005,740309,คลองน้ำใสวิทยาคาร,Klongnamsaiwittayakarn,นางสาววันฤดี สำราญสุข,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,ปิ่นมาลา,หมู่ 10 ตลาดใหม่,ผ่านศึก,อรัญประเทศ,สระแก้ว,27120.0,mklongnumsai@gmail.com,kns.ac.th,อบต.ผ่านศึก,037247451,037247451,1 มิถุนายน 2519,168.0,16.0,m,y,32,420,14,18 สิงหาคม 2563 เวลา 22:23:37 น.,7,27,52,C,สระแก้ว,สระแก้ว,1,0,25,0,0,2,3,1,25,2021-07-09 03:36:32.950223
41,1027740307,27022006,740307,ร่มเกล้าวัฒนานคร สระแก้ว รัชมังคลาภิเษก,romklaowattananakron sakaeo ratcharmangkalaphisek School,นายอภิรัฐร์ รอดเกิด,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,ปิ่นมาลา,หมู่ 8 คลองทราย,หนองตะเคียนบอน,วัฒนานคร,สระแก้ว,27160.0,inforgraphic.rwr@gmail.com,www.romklaowattananakorn.com,หนองตะเคียนบอน,037243620,037243074,31 มีนาคม 2531,126.0,36.0,m,y,26,360,10,31 สิงหาคม 2563 เวลา 11:33:24 น.,7,27,52,C,สระแก้ว,สระแก้ว,1,0,17,4,1,1,2,1,21,2021-07-09 03:36:33.534374
42,1027740302,27022007,740302,ซับม่วงวิทยา,submaungwittaya,นายจำเนียร พวงแก้ว,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,ปิ่นมาลา,หมู่ 2 บ้านซับม่วง,โคคลาน,ตาพระยา,สระแก้ว,27180.0,submuang@gmail.com,,โคคลาน,037-269920,0373269920,1 พฤษภาคม 2534,168.0,17.0,m,y,21,254,12,15 เมษายน 2563 เวลา 13:09:10 น.,7,27,52,C,สระแก้ว,สระแก้ว,1,0,15,0,1,2,0,1,15,2021-07-09 03:36:34.106279
43,1027740300,27022008,740300,ตาพระยา,tapraya,นายพรชัย กิจนิมิตร์,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,ปิ่นมาลา,หมู่ 1 เทศบาลตำบลตาพระยา,ตาพระยา,ตาพระยา,สระแก้ว,27180.0,tapraya2513@yahoo.com,http://www.labschool.ne,ตาพระยา,037269079,037269079,2513,210.0,1.0,l,y,80,1024,41,15 เมษายน 2563 เวลา 13:09:55 น.,7,27,52,C,สระแก้ว,สระแก้ว,1,1,53,2,2,8,13,2,55,2021-07-09 03:36:34.749444
44,1027740312,27022009,740312,ทัพพระยาพิทยา,Tupprayapittaya,นายจำเนียร พวงแก้ว,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,ปิ่นมาลา,หมู่ 8 -,โคกสูง,โคกสูง,สระแก้ว,27120.0,tuppit@gmail.com,www.tuppit.ac.th,โคกสูง,037441111,037441111,11/12/2527,156.0,0.5,l,y,71,1031,36,31 สิงหาคม 2563 เวลา 14:53:35 น.,7,27,52,C,สระแก้ว,สระแก้ว,1,1,34,18,1,3,14,2,52,2021-07-09 03:36:35.394775
1,1070480364,70012001,480364,สวนผึ้งวิทยา,Suanphueng Witthaya,นายสรายุทธ ลิบไพรวัลย์,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ 1 -,สวนผึ้ง,สวนผึ้ง,ราชบุรี,70180,spschool309@gmail.com,www.spwit.ac.th,เทศบาลสวนผึ้ง,032-395442,032-395442,19 กรกฎาคม 2519,65,1,l,y,76,1283,36,15 พฤษภาคม 2563 เวลา 09:00:19 น.,8,70,43,C,ราชบุรี,ราชบุรี,1,1,56,0,3,1,3,2,56,2021-07-09 03:36:35.958627
2,1070480379,70012002,480379,ปากท่อพิทยาคม,Pakthopithayakom,นายศิริชัย ทองหน้าศาล,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,เซิมโพธิ์,หมู่ 2 โคกพระ,ปากท่อ,ปากท่อ,ราชบุรี,70140,paktho@paktho.ac.th,www.paktho.ac.th,เทศบาลตำบลปากท่อ,0-3228-1056,032281056,1มิถุนายน2500,22,6,l,y,41,625,18,05 มิถุนายน 2562 เวลา 10:21:17 น.,8,70,43,C,ราชบุรี,ราชบุรี,1,0,24,10,3,0,3,1,34,2021-07-09 03:36:36.539511
3,1070480358,70012003,480358,เบญจมราชูทิศ ราชบุรี,Benjamarachutit Ratchaburi,นายนิวัตร วงศ์วิลัย,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ - ถนนมนตรีสุริยวงศ์,หน้าเมือง,เมืองราชบุรี,ราชบุรี,70000,benjama.r@hotmail.com,www.ben.ac.th,-,032-337302,032-337372,2429,5,5,x,y,204,3106,81,08 พฤศจิกายน 2562 เวลา 10:58:14 น.,8,70,43,C,ราชบุรี,ราชบุรี,1,4,143,9,6,3,38,5,152,2021-07-09 03:36:37.196058
4,1070480362,70012004,480362,คุรุราษฎร์รังสฤษฏ์,Kururatrungsarit School,นายสมยศ บุญเจริญ,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ 2 ทำเนียบ,จอมบึง,จอมบึง,ราชบุรี,70150,kururat@kuru.ac.th,www.kuru.ac.th,จอมบึง,032-261390,032-261391,2506,28,2,x,y,124,1754,51,15 พฤษภาคม 2560 เวลา 13:00:41 น.,8,70,43,C,ราชบุรี,ราชบุรี,1,0,90,7,3,0,23,1,97,2021-07-09 03:36:37.815788
5,1070480363,70012005,480363,ด่านทับตะโกราษฎร์อุปถัมภ์,Dantabtakoratupathum school,นายคม พิริยวุฒิกรอุดม,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,นาหนัง,หมู่ 2 ด่านทับตะโก,ด่านทับตะโก,จอมบึง,ราชบุรี,70150,dantabtako_2011@hotmail.com,www.dtk.ac.th,ด่านทับตะโก,0-3226-5300,032265300,20 พฤษภาคม 2523,58,20,m,y,33,524,16,06 พฤษภาคม 2560 เวลา 09:53:03 น.,8,70,43,C,ราชบุรี,ราชบุรี,1,0,28,2,2,0,5,1,30,2021-07-09 03:36:38.373403
6,1070480380,70012006,480380,วัดสันติการามวิทยา ในพระบรมราชานุเคราะห์,Santikaramwitthaya School under the Royal Patronage,นางสาวกนกพร พิริยวุฒิกรอุดม,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ 15 พุพลับ,ทุ่งหลวง,ปากท่อ,ราชบุรี,70140,"santikaramwitthaya@gmail,com",www.santikaram.ac.th/,,032-732754,032-732754,2515,27,27,m,y,30,420,13,16 มีนาคม 2564 เวลา 19:40:27 น.,8,70,43,C,ราชบุรี,ราชบุรี,1,0,22,1,0,2,4,1,23,2021-07-09 03:36:38.974354
7,1070480359,70012007,480359,ราชโบริกานุเคราะห์,Ratchaborikanukroh,นายมงคล ชื่นชม,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ 421/17 -,หน้าเมือง,เมืองราชบุรี,ราชบุรี,70000,ratb@ratb.ac.th,www.ratb.ac.th,ราชบุรี,0-3232-7136-7,032315669,19122470,-,-,x,y,272,3565,94,24 มกราคม 2563 เวลา 13:54:48 น.,8,70,43,C,ราชบุรี,ราชบุรี,2,2,125,31,5,2,87,4,156,2021-07-09 03:36:39.674645
8,1070480360,70012008,480360,แคทรายวิทยา,KHAESAIWITTAYA,นายวรพล ชาวสูนย์,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ 12 ดอนตูม,คูบัว,เมืองราชบุรี,ราชบุรี,70000,khaesai@sesao8.go.th,sites.google.com/site/khaesaiwittayaschool/,คูบัว,0-3273-0082,-,17 พฤษภาคม 2519,8.9,8.9,s,y,15,76,5,03 ธันวาคม 2561 เวลา 14:25:52 น.,8,70,43,C,ราชบุรี,ราชบุรี,1,0,6,5,1,0,2,1,11,2021-07-09 03:36:40.232585
9,1070480381,70012009,480381,บรมราชินีนาถราชวิทยาลัย,Queen College,นายสมมาต โพธิ์ทอง,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ 2 อ่างหิน,อ่างหิน,ปากท่อ,ราชบุรี,70140,kru2501@hotmail.com,www.qc.ac.th,อ่างหิน,0-3271-9222,0-3271-9234,2535,31,30,m,y,52,529,20,09 สิงหาคม 2563 เวลา 09:39:34 น.,8,70,43,C,ราชบุรี,ราชบุรี,1,0,38,4,5,0,0,1,42,2021-07-09 03:36:40.842816
10,1070480361,70012010,480361,รัฐราษฎร์อุปถัมภ์,RATRARDUPATHAM SCHOOL,นายนัทที พัฒนะผล,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ 7 ห้วยชินสีห์,อ่างทอง,เมืองราชบุรี,ราชบุรี,70000,ratrard2009@gmail.com,www.ratrard.ac.th,ห้วยชินสีห์,032352018,032352018,9 มิถุนายน 2519,10.8,10.6,m,y,59,828,25,28 มิถุนายน 2561 เวลา 12:26:29 น.,8,70,43,C,ราชบุรี,ราชบุรี,1,0,33,6,4,1,14,1,39,2021-07-09 03:36:41.404177
11,1070480382,70012011,480382,โสภณศิริราษฎร์,Sophonsiriraj School,นางปิยนุช โรจนกุล,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ 5 บ้านวัดเพลง,วัดเพลง,วัดเพลง,ราชบุรี,70170,sopon2497@hotmail.com,www.sopon.ac.th,วัดเพลง,032399226,032399227,16/05/2497,15กม,1,m,y,34,510,15,12 มิถุนายน 2561 เวลา 19:59:23 น.,8,70,43,C,ราชบุรี,ราชบุรี,1,0,19,8,2,0,4,1,27,2021-07-09 03:36:41.999758
12,1070480383,70012012,480383,บ้านคาวิทยา,Bankhawittaya school,นางสาวสายฝน ภานุมาศ,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ 1 บ้านคา,บ้านคา,บ้านคา,ราชบุรี,70180,bankawittaya_school@rat,http://www.bankhawittaya.ac.th,บ้านคา,0-3272-1011,032721011,04/02/2529,60,0.5,l,y,51,780,22,30 ตุลาคม 2561 เวลา 15:44:35 น.,8,70,43,C,ราชบุรี,ราชบุรี,1,1,40,2,2,2,2,2,42,2021-07-09 03:36:42.576676
13,1070480365,70022001,480365,สายธรรมจันทร์,Saithammachan,นายพงษ์ดนัย เดชเดชาโชติ,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ 5 ท่านัด,ท่านัด,ดำเนินสะดวก,ราชบุรี,70130,Sai@sSaithamjan,Saithamjan.com,ท่านัด,0-3224-1004,032241480,04062452,27.7,12.7,x,y,100,1819,52,24 มิถุนายน 2562 เวลา 10:35:30 น.,8,70,43,C,ราชบุรี,ราชบุรี,1,3,66,15,4,0,9,4,81,2021-07-09 03:36:43.193785
14,1070480375,70022002,480375,โพธาวัฒนาเสนี,phothawatthanasaenee,นายจรัญ สุขเสรี,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ 8,คลองตาคต,โพธาราม,ราชบุรี,70120,admin@photha.ac.th,www.photha.ac.th,คลองตาคด,0-3234-7280,032347280 ต่อ123,21/06/2451,30,2,x,y,166,2714,66,29 พฤษภาคม 2562 เวลา 14:54:30 น.,8,70,43,C,ราชบุรี,ราชบุรี,2,1,101,38,3,3,18,3,139,2021-07-09 03:36:43.853088
15,1070480366,70022003,480366,ประสาทรัฐประชากิจ,Prasartratprachakit,-,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ 5 ประสาทสิทธิ์,ประสาทสิทธิ์,ดำเนินสะดวก,ราชบุรี,70210,info@ppschool.ac.th,www.ppschool.ac.th,ศรีดอนไผ่,032248109,032360637,20/08/2519,37,10,l,y,65,1083,31,06 พฤษภาคม 2560 เวลา 10:34:44 น.,8,70,43,C,ราชบุรี,ราชบุรี,0,1,51,7,0,1,5,1,58,2021-07-09 03:36:44.412395
16,1070480370,70022004,480370,หนองปลาหมอพิทยาคม,NONGPLAMOR PITTAYAKOM,นางขวัญใจ โพธิ์ทองนาค,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ 8 โคกสูง,หนองปลาหมอ,บ้านโป่ง,ราชบุรี,70110,ืnongplamor@hotmail.com,,หนองปลาหมอ,0-3237-2630,032372630,5 มิถุนายน 2518,35,15,m,y,26,297,14,30 มิถุนายน 2559 เวลา 13:56:20 น.,8,70,43,C,ราชบุรี,ราชบุรี,1,0,17,2,0,1,6,1,19,2021-07-09 03:36:44.972222
17,1070480374,70022005,480374,โพหัก,phohakwongsomboonratuppatham,นายสุรพล พรชัย,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ 7 โพหัก,โพหัก,บางแพ,ราชบุรี,70160,phohak@gmail.com,data.bopp-obec.info/web/home.php?School_ID=1070480374,โพหัก,0-3238-7591,032387591,พ.ศ.2496,45,20,m,y,17,188,8,20 ธันวาคม 2563 เวลา 15:38:02 น.,8,70,43,C,ราชบุรี,ราชบุรี,1,0,11,1,1,1,2,1,12,2021-07-09 03:36:45.545713
18,1070480376,70022006,480376,หนองโพวิทยา,Nongphowittaya,นายเจษฎา ธีระตระกูล,มัธยมศึกษาตอนต้น-มัธยมศึกษาตอนปลาย,,หมู่ 9 หนองโพ,หนองโพ,โพธาราม,ราชบุรี,70120,nongphowit@gmail.com,www.nongphowittaya.ac.th,หนองโพ,0-3238-9491,0-3238-9491,20/04/2519,28,12,m,y,30,518,15,29 มกราคม 2561 เวลา 11:26:24 น.,8,70,43,C,ราชบุรี,ราชบุรี,1,0,22,6,0,0,1,1,28,2021-07-09 03:36:46.108235
